ticket_id_pk,pedido_id,cliente_id,nome_cliente,produto_id,nome_produto,categoria_problema,data_abertura,data_resolucao,status
62,12597,250,Marcos Pereira,79,Tênis Esportivo 79,cobrança,2023-11-22,2023-11-30,resolvido
62,12597,250,Marcos Pereira,111,Vitaminas 111,cobrança,2023-11-22,2023-11-30,resolvido
62,12597,250,Marcos Pereira,30,Camisetas 30,cobrança,2023-11-22,2023-11-30,resolvido
63,1362,872,Zélia Lopes,9,Tablets 9,troca,2023-07-05,,aberto
64,1448,475,Olívia Almeida,136,Agendas 136,defeito,2024-02-16,,aberto
64,1448,475,Olívia Almeida,129,Livros Técnicos 129,defeito,2024-02-16,,aberto
64,1448,475,Olívia Almeida,17,Smart TVs 17,defeito,2024-02-16,,aberto
64,1448,475,Olívia Almeida,194,Suplementos 194,defeito,2024-02-16,,aberto
65,12762,1725,Wanessa Gomes,97,Perfumes 97,atraso,2023-03-05,2023-03-19,resolvido
65,12762,1725,Wanessa Gomes,36,Calças 36,atraso,2023-03-05,2023-03-19,resolvido
66,5758,609,Zélia Teixeira,144,Fraldas 144,troca,2023-05-25,,aberto
66,5758,609,Zélia Teixeira,108,Vitaminas 108,troca,2023-05-25,,aberto
66,5758,609,Zélia Teixeira,19,Smart TVs 19,troca,2023-05-25,,aberto
67,10982,2403,Hanna Correia,31,Camisetas 31,cobrança,2023-01-30,2023-01-31,resolvido
68,12604,2239,Bruno Rocha,70,Utensílios 70,dúvida,2023-12-01,2023-12-06,resolvido
68,12604,2239,Bruno Rocha,110,Vitaminas 110,dúvida,2023-12-01,2023-12-06,resolvido
69,3458,70,Leonardo Lopes,31,Camisetas 31,defeito,2023-11-29,,aberto
69,3458,70,Leonardo Lopes,60,Tapetes 60,defeito,2023-11-29,,aberto
70,10445,2731,Xênia Souza,63,Quadros 63,dúvida,2023-11-20,2023-11-23,resolvido
70,10445,2731,Xênia Souza,78,Tênis Esportivo 78,dúvida,2023-11-20,2023-11-23,resolvido
70,10445,2731,Xênia Souza,157,Roupas Infantis 157,dúvida,2023-11-20,2023-11-23,resolvido
71,4762,6,Xavier Nascimento,69,Utensílios 69,troca,2024-11-21,2024-11-23,resolvido
71,4762,6,Xavier Nascimento,136,Agendas 136,troca,2024-11-21,2024-11-23,resolvido
71,4762,6,Xavier Nascimento,113,Cafés 113,troca,2024-11-21,2024-11-23,resolvido
72,13776,48,Yasmin Teixeira,138,Agendas 138,troca,2023-11-27,,escalado
72,13776,48,Yasmin Teixeira,17,Smart TVs 17,troca,2023-11-27,,escalado
73,10106,1190,Zacarias Alves,94,Cosméticos 94,dúvida,2024-01-19,2024-01-26,resolvido
73,10106,1190,Zacarias Alves,152,Roupas Infantis 152,dúvida,2024-01-19,2024-01-26,resolvido
73,10106,1190,Zacarias Alves,17,Smart TVs 17,dúvida,2024-01-19,2024-01-26,resolvido
73,10106,1190,Zacarias Alves,89,Natação 89,dúvida,2024-01-19,2024-01-26,resolvido
74,13281,2304,Eduardo Costa,140,Material Escolar 140,defeito,2023-08-17,2023-08-18,resolvido
74,13281,2304,Eduardo Costa,87,Camping 87,defeito,2023-08-17,2023-08-18,resolvido
75,7391,274,Daniela Correia,73,Bicicletas 73,cobrança,2023-11-23,,aberto
76,14903,2583,Sandra Souza,147,Fraldas 147,troca,2024-01-23,2024-01-28,resolvido
77,8067,469,Letícia Santos,121,Vinhos 121,troca,2024-08-18,,aberto
78,1155,1132,Rafael Pinto,165,Tapetes 165,troca,2023-02-14,,escalado
79,6073,326,Leonardo Duarte,77,Tênis Esportivo 77,cobrança,2023-03-27,,escalado
79,6073,326,Leonardo Duarte,47,Roupas Íntimas 47,cobrança,2023-03-27,,escalado
79,6073,326,Leonardo Duarte,173,Material Escolar 173,cobrança,2023-03-27,,escalado
80,13974,251,Fernanda Rocha,119,Chás 119,cobrança,2023-03-31,2023-04-01,resolvido
80,13974,251,Fernanda Rocha,30,Camisetas 30,cobrança,2023-03-31,2023-04-01,resolvido
81,7380,1211,Zélia Pereira,67,Vasos 67,dúvida,2023-03-17,2023-03-18,resolvido
82,12475,790,Yasmin Oliveira,83,Equipamentos de Academia 83,cobrança,2024-11-26,,aberto
83,12164,1233,Natália Teixeira,63,Quadros 63,troca,2024-09-10,2024-09-17,resolvido
84,9359,2319,Zacarias Cavalcanti,166,Utensílios 166,troca,2024-09-04,2024-09-09,resolvido
85,9383,784,Igor Pinto,93,Cosméticos 93,atraso,2024-09-24,2024-10-04,resolvido
86,13033,1054,Olívia Sousa,118,Chás 118,defeito,2023-03-13,,aberto
87,8460,1478,Thiago Moreira,10,Tablets 10,dúvida,2023-02-08,,aberto
88,12616,2740,Daniela Correia,124,Chocolates 124,defeito,2023-12-19,2023-12-29,resolvido
89,2420,1547,Zacarias Duarte,31,Camisetas 31,defeito,2023-12-08,2023-12-09,resolvido
89,2420,1547,Zacarias Duarte,66,Quadros 66,defeito,2023-12-08,2023-12-09,resolvido
89,2420,1547,Zacarias Duarte,189,Vinhos 189,defeito,2023-12-08,2023-12-09,resolvido
89,2420,1547,Zacarias Duarte,84,Equipamentos de Academia 84,defeito,2023-12-08,2023-12-09,resolvido
89,2420,1547,Zacarias Duarte,57,Luminárias 57,defeito,2023-12-08,2023-12-09,resolvido
89,2420,1547,Zacarias Duarte,60,Tapetes 60,defeito,2023-12-08,2023-12-09,resolvido
90,5011,2990,Daniela Teixeira,1,Smartphones 1,dúvida,2024-07-12,2024-07-17,resolvido
90,5011,2990,Daniela Teixeira,56,Luminárias 56,dúvida,2024-07-12,2024-07-17,resolvido
90,5011,2990,Daniela Teixeira,162,Cuidados com a Pele 162,dúvida,2024-07-12,2024-07-17,resolvido
90,5011,2990,Daniela Teixeira,17,Smart TVs 17,dúvida,2024-07-12,2024-07-17,resolvido
91,9461,2027,Bruno Teixeira,121,Vinhos 121,atraso,2024-03-25,2024-04-09,resolvido
91,9461,2027,Bruno Teixeira,126,Snacks Saudáveis 126,atraso,2024-03-25,2024-04-09,resolvido
91,9461,2027,Bruno Teixeira,23,Câmeras 23,atraso,2024-03-25,2024-04-09,resolvido
92,3759,2765,Igor Freitas,76,Tênis Esportivo 76,dúvida,2023-07-10,2023-07-20,resolvido
92,3759,2765,Igor Freitas,125,Chocolates 125,dúvida,2023-07-10,2023-07-20,resolvido
92,3759,2765,Igor Freitas,62,Quadros 62,dúvida,2023-07-10,2023-07-20,resolvido
92,3759,2765,Igor Freitas,99,Perfumes 99,dúvida,2023-07-10,2023-07-20,resolvido
93,4134,2210,Guilherme Pereira,188,Vitaminas 188,dúvida,2024-12-11,,escalado
93,4134,2210,Guilherme Pereira,45,Acessórios 45,dúvida,2024-12-11,,escalado
93,4134,2210,Guilherme Pereira,52,Móveis 52,dúvida,2024-12-11,,escalado
93,4134,2210,Guilherme Pereira,30,Camisetas 30,dúvida,2024-12-11,,escalado
94,13009,2725,Eduardo Alves,67,Vasos 67,atraso,2024-04-25,2024-04-30,resolvido
94,13009,2725,Eduardo Alves,173,Material Escolar 173,atraso,2024-04-25,2024-04-30,resolvido
95,4381,1545,Helena Souza,165,Tapetes 165,troca,2023-08-20,,escalado
95,4381,1545,Helena Souza,14,Fones de Ouvido 14,troca,2023-08-20,,escalado
95,4381,1545,Helena Souza,131,Literatura 131,troca,2023-08-20,,escalado
96,2369,2001,Tânia Duarte,152,Roupas Infantis 152,atraso,2023-12-22,2024-01-08,resolvido
97,7830,2728,Xênia Andrade,105,Suplementos 105,troca,2023-03-06,,escalado
98,5719,1908,Fernanda Pinto,165,Tapetes 165,atraso,2024-02-25,,escalado
98,5719,1908,Fernanda Pinto,172,Notebooks 172,atraso,2024-02-25,,escalado
99,2598,222,Fernanda Almeida,165,Tapetes 165,defeito,2024-10-15,,aberto
100,13205,40,Patrícia Sousa,80,Equipamentos de Academia 80,atraso,2023-12-26,2024-01-03,resolvido
100,13205,40,Patrícia Sousa,200,Luminárias 200,atraso,2023-12-26,2024-01-03,resolvido
100,13205,40,Patrícia Sousa,164,Camisetas 164,atraso,2023-12-26,2024-01-03,resolvido
101,9734,771,Letícia Martins,42,Acessórios 42,atraso,2023-10-20,,escalado
101,9734,771,Letícia Martins,126,Snacks Saudáveis 126,atraso,2023-10-20,,escalado
101,9734,771,Letícia Martins,27,Câmeras 27,atraso,2023-10-20,,escalado
101,9734,771,Letícia Martins,57,Luminárias 57,atraso,2023-10-20,,escalado
101,9734,771,Letícia Martins,32,Calças 32,atraso,2023-10-20,,escalado
102,10392,1614,Eduardo Souza,143,Material Escolar 143,cobrança,2024-02-17,2024-02-26,resolvido
102,10392,1614,Eduardo Souza,142,Material Escolar 142,cobrança,2024-02-17,2024-02-26,resolvido
103,14937,2608,Rafael Figueiredo,125,Chocolates 125,cobrança,2023-09-03,2023-09-09,resolvido
104,3324,1050,Diana Castro,72,Bicicletas 72,atraso,2023-03-09,2023-03-18,resolvido
104,3324,1050,Diana Castro,120,Chás 120,atraso,2023-03-09,2023-03-18,resolvido
105,202,1210,Letícia Martins,13,Fones de Ouvido 13,troca,2024-11-09,2024-11-16,resolvido
106,13183,1791,Otávio Esteves,86,Camping 86,atraso,2023-06-22,,escalado
106,13183,1791,Otávio Esteves,96,Cosméticos 96,atraso,2023-06-22,,escalado
107,9196,2797,Patrícia Castro,94,Cosméticos 94,dúvida,2024-07-06,,aberto
108,12435,1812,Paulo Pinto,71,Utensílios 71,troca,2023-10-03,2023-10-10,resolvido
109,12486,37,Daniela Pinto,128,Livros Técnicos 128,defeito,2023-12-21,2023-12-24,resolvido
109,12486,37,Daniela Pinto,126,Snacks Saudáveis 126,defeito,2023-12-21,2023-12-24,resolvido
109,12486,37,Daniela Pinto,123,Vinhos 123,defeito,2023-12-21,2023-12-24,resolvido
109,12486,37,Daniela Pinto,110,Vitaminas 110,defeito,2023-12-21,2023-12-24,resolvido
110,1786,2291,Ursula Oliveira,79,Tênis Esportivo 79,cobrança,2024-08-20,2024-08-27,resolvido
111,3722,1812,Paulo Pinto,114,Cafés 114,dúvida,2023-12-04,2023-12-12,resolvido
112,9056,2798,Olívia Gomes,198,Vitaminas 198,dúvida,2023-12-20,2023-12-27,resolvido
112,9056,2798,Olívia Gomes,126,Snacks Saudáveis 126,dúvida,2023-12-20,2023-12-27,resolvido
112,9056,2798,Olívia Gomes,159,Cadeirinhas 159,dúvida,2023-12-20,2023-12-27,resolvido
112,9056,2798,Olívia Gomes,139,Material Escolar 139,dúvida,2023-12-20,2023-12-27,resolvido
113,13408,1919,Kleber Alves,16,Fones de Ouvido 16,atraso,2024-08-25,2024-09-07,resolvido
113,13408,1919,Kleber Alves,97,Perfumes 97,atraso,2024-08-25,2024-09-07,resolvido
114,9964,1280,Ursula Costa,148,Fraldas 148,cobrança,2023-02-01,,escalado
114,9964,1280,Ursula Costa,162,Cuidados com a Pele 162,cobrança,2023-02-01,,escalado
114,9964,1280,Ursula Costa,192,Agendas 192,cobrança,2023-02-01,,escalado
115,5852,1548,Mariana Castro,158,Cadeirinhas 158,cobrança,2023-09-26,,aberto
115,5852,1548,Mariana Castro,63,Quadros 63,cobrança,2023-09-26,,aberto
115,5852,1548,Mariana Castro,73,Bicicletas 73,cobrança,2023-09-26,,aberto
116,171,2086,Vinicius Moreira,55,Luminárias 55,atraso,2023-02-04,2023-02-22,resolvido
117,12392,2264,Wanessa Andrade,114,Cafés 114,dúvida,2024-07-13,2024-07-18,resolvido
117,12392,2264,Wanessa Andrade,163,Acessórios 163,dúvida,2024-07-13,2024-07-18,resolvido
117,12392,2264,Wanessa Andrade,170,Equipamentos de Academia 170,dúvida,2024-07-13,2024-07-18,resolvido
118,7310,1846,Vera Sousa,65,Quadros 65,atraso,2023-05-16,,escalado
118,7310,1846,Vera Sousa,151,Brinquedos 151,atraso,2023-05-16,,escalado
118,7310,1846,Vera Sousa,185,Smart TVs 185,atraso,2023-05-16,,escalado
118,7310,1846,Vera Sousa,145,Fraldas 145,atraso,2023-05-16,,escalado
118,7310,1846,Vera Sousa,192,Agendas 192,atraso,2023-05-16,,escalado
119,1462,1166,Paulo Vieira,60,Tapetes 60,atraso,2023-12-21,2024-01-09,resolvido
119,1462,1166,Paulo Vieira,160,Cadeirinhas 160,atraso,2023-12-21,2024-01-09,resolvido
120,9387,2218,Otávio Moreira,191,Quadros 191,dúvida,2024-01-11,2024-01-18,resolvido
121,10543,1384,Carlos Costa,84,Equipamentos de Academia 84,dúvida,2023-06-28,,escalado
121,10543,1384,Carlos Costa,35,Calças 35,dúvida,2023-06-28,,escalado
122,2066,105,Daniela Sousa,34,Calças 34,cobrança,2024-07-01,,escalado
122,2066,105,Daniela Sousa,100,Cuidados com a Pele 100,cobrança,2024-07-01,,escalado
123,8965,2076,Vera Rodrigues,89,Natação 89,atraso,2024-08-01,,aberto
124,3784,2181,Vinicius Lopes,118,Chás 118,defeito,2023-11-24,,escalado
124,3784,2181,Vinicius Lopes,112,Cafés 112,defeito,2023-11-24,,escalado
124,3784,2181,Vinicius Lopes,49,Móveis 49,defeito,2023-11-24,,escalado
124,3784,2181,Vinicius Lopes,135,Agendas 135,defeito,2023-11-24,,escalado
125,4653,537,Juliana Rocha,94,Cosméticos 94,defeito,2024-09-26,,aberto
125,4653,537,Juliana Rocha,185,Smart TVs 185,defeito,2024-09-26,,aberto
125,4653,537,Juliana Rocha,158,Cadeirinhas 158,defeito,2024-09-26,,aberto
126,12211,1208,Diana Martins,198,Vitaminas 198,troca,2024-11-23,2024-12-02,resolvido
127,7647,2331,Sérgio Duarte,139,Material Escolar 139,troca,2023-03-29,,aberto
128,297,2867,Amanda Castro,192,Agendas 192,cobrança,2024-02-13,2024-02-16,resolvido
128,297,2867,Amanda Castro,153,Roupas Infantis 153,cobrança,2024-02-13,2024-02-16,resolvido
128,297,2867,Amanda Castro,97,Perfumes 97,cobrança,2024-02-13,2024-02-16,resolvido
129,14433,321,Carlos Campos,128,Livros Técnicos 128,defeito,2024-07-01,,escalado
129,14433,321,Carlos Campos,169,Quadros 169,defeito,2024-07-01,,escalado
